statNm,addr,chgerType,useTime,lat,lng,output,limitYn,limitDetail
종원팰리스빌아파트 106동,광주광역시 서구 화개1로 59-2,2,24시간 이용가능,35.1308501,126.8531094,7.0,Y,관리 시설에 따른 이용 제한이 있을 수 있음
종원팰리스빌아파트 110동,광주광역시 서구 화개1로 59-2,2,24시간 이용가능,35.1308036,126.8519026,7.0,Y,관리 시설에 따른 이용 제한이 있을 수 있음
올리비아 원룸(INO),광주광역시 북구 용주로34번길 16,2,24시간 이용가능,35.1811297,126.9020023,7.0,N,기타
그랜드센트럴(INO),광주광역시 동구 경양로 234,2,24시간 이용가능,35.1571167,126.9154679,7.0,Y,거주자외 출입제한
E1 광주금정 전기차 충전소,광주광역시 광산구 북문대로 365,4,24시간 이용가능,35.19061524,126.8529116,200.0,N,기타
송정농협,광주광역시 광산구 송정동 566-38,2,평일 09:00~18:00,35.1394701,126.7996602,7.0,N,기타
E1 광주오렌지 전기차충전소,광주광역시 광산구 상무대로 467,4,24시간 이용가능,35.14408,126.816855,200.0,N,기타
광산 주식회사 더시티,광주광역시 광산구 임방울대로825번길 21-42,2,24시간 이용가능/시설 상황에 따라 이용이 제한될 수 있습니다,35.2202991,126.8481638,7.0,Y,시설 상황에 따라 이용이 제한될 수 있음
광산 진왕자동차공업사,광주광역시 광산구 소촌로152번길 53-22,2,24시간 이용가능/시설 상황에 따라 이용이 제한될 수 있습니다,35.1582027,126.7985033,7.0,N,시설 상황에 따라 이용이 제한될 수 있음
광산 송정점현대자동차,광주광역시 광산구 송도로 301,2,24시간 이용가능/시설 상황에 따라 이용이 제한될 수 있습니다,35.1400278,126.8007603,7.0,N,시설 상황에 따라 이용이 제한될 수 있음
광산 대성트윈스밸리,광주광역시 광산구 임방울대로800번길 72,2,24시간 이용가능/시설 상황에 따라 이용이 제한될 수 있습니다,35.2142924,126.8452403,7.0,Y,시설 상황에 따라 이용이 제한될 수 있음
서구 대한시스템(유)-상무비즈센터,광주광역시 서구 상무시민로 103,2,24시간 이용가능/시설 상황에 따라 이용이 제한될 수 있습니다,35.1555307,126.85051,7.0,Y,시설 상황에 따라 이용이 제한될 수 있음
광주 한마음모터스,광주광역시 광산구 동곡로 438,2,24시간 이용가능,35.1217087,126.7802211,7.0,Y,시설 상황에 따라 이용이 제한될 수 있음
광주대 중앙도서관,광주광역시 남구 효덕로 277,2,24시간 이용가능,35.103477,126.894951,7.0,Y,시설 상황에 따라 이용이 제한될 수 있음
